Title,Year,Language,Genre,Release date (India),Runtime(mins),Banner,Director,Cast
Migration,2023,English,"Adventure, Animation",06-12-2023,82,"Universal Pictures, Illumination",Benjamin Renner,"Kumail Nanjiani, Elizabeth Banks"
Operation Fortune: Ruse de Guerre,2023,English,"Action, Thriller",04-01-2023,113,"Miramax, STXfilms",Guy Ritchie,"Jason Statham, Aubrey Plaza"
Scream VI,2023,English,Thriller,10-03-2023,123,"Radio Silence, Project X Entertainment","Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Jenna Ortega"
Ghosted,2023,English,Action,18-04-2023,117,Skydance Media,Dexter Fletcher,"Chris Evans, Ana de Armas"
Evil Dead Rise,2023,English,Thriller,21-04-2023,96,"New Line Cinema, Pacific Renaissance Pictures",Lee Cronin,"Lily Sullivan, Alyssa Sutherland"
Transformers: Rise of the Beasts,2023,English,"Sci-Fi, Adventure",09-06-2023,127,"Skydance Media, Paramount Pictures",Steven Caple Jr.,"Anthony Ramos, Dominique Fishback"
The Equalizer 3,2023,English,"Action, Thriller",30-08-2023,109,"Columbia Pictures, Eagle Pictures",Antoine Fuqua,"Denzel Washington, Dakota Fanning"
Aquaman and the Lost Kingdom,2023,English,"Action, Adventure",20-12-2023,124,"Warner Bros. Pictures, The Safran Company",James Wan,"Jason Momoa, Patrick Wilson"
Indiana Jones and the Dial of Destiny,2023,English,"Adventure, Action",25-06-2023,155,Lucasfilm Ltd.,James Mangold,"Harrison Ford, Phoebe Waller-Bridge"
Expend4bles,2023,English,"Action, Adventure",15-09-2023,103,"Millennium Media, Campbell Grobman Films",Scott Waugh,"Jason Statham, 50 Cent"
Wonka,2023,English,Fantasy,08-12-2023,117,"Warner Bros. Pictures, Village Roadshow Pictures",Paul King,"Timothée Chalamet, Calah Lane"
Saltburn,2023,English,Thriller,16-11-2023,131,"LuckyChap Entertainment, MRC",Emerald Fennell,"Barry Keoghan, Jacob Elordi"
Dungeons & Dragons: Honor Among Thieves,2023,English,"Adventure, Fantasy",23-03-2023,134,"Entertainment One, Paramount Pictures","Jonathan Goldstein, John Francis Daley","Chris Pine, Michelle Rodriguez"
Wish,2023,English,"Animation, Fantasy",13-11-2023,95,Walt Disney Animation Studios,"Fawn Veerasunthorn, Chris Buck","Ariana DeBose, Chris Pine"
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,English,"Animation, Action",31-07-2023,100,"Paramount Pictures, Nickelodeon Movies",Jeff Rowe,"Micah Abbey, Shamon Brown Jr."
PAW Patrol: The Mighty Movie,2023,English,"Adventure, Animation",13-10-2023,87,"Nickelodeon Movies, Spin Master",Cal Brunker,"Mckenna Grace, Taraji P. Henson"
Totally Killer,2023,English,Sci-Fi,28-09-2023,105,"Blumhouse Television, Divide / Conquer",Nahnatchka Khan,"Kiernan Shipka, Olivia Holt"
The Marvels,2023,English,"Sci-Fi, Adventure",08-11-2023,105,"Marvel Studios, Kevin Feige Productions",Nia DaCosta,"Brie Larson, Teyonah Parris"
Trolls Band Together,2023,English,"Animation, Fantasy",17-11-2023,91,DreamWorks Animation,Walt Dohrn,"Anna Kendrick, Justin Timberlake"
Leo,2023,English,Animation,17-11-2023,102,"Happy Madison Productions, Animal Logic","Robert Marianetti, Robert Smigel","Adam Sandler, Bill Burr"
The Little Mermaid,2023,English,"Adventure, Fantasy",30-05-2023,98,"The Asylum, The Global Asylum, LLC.",Michael Johnson,"Sonya Krueger, Dee Wallace"
Insidious: The Red Door,2023,English,Thriller,07-07-2023,107,"Blumhouse Productions, Stage 6 Films",Patrick Wilson,"Ty Simpkins, Patrick Wilson"
The Creator,2023,English,"Sci-Fi, Action",29-09-2023,134,"New Regency Pictures, Entertainment One",Gareth Edwards,"John David Washington, Madeleine Yuna Voyles"
Creed III,2023,English,Action,01-03-2023,116,"Metro-Goldwyn-Mayer, Chartoff-Winkler Productions",Michael B. Jordan,"Michael B. Jordan, Tessa Thompson"
Extraction 2,2023,English,"Action, Thriller",09-06-2023,122,"AGBO, TGIM Films",Sam Hargrave,"Chris Hemsworth, Golshifteh Farahani"
Ant-Man and the Wasp: Quantumania,2023,English,"Action, Adventure",17-02-2023,125,"Marvel Studios, Kevin Feige Productions",Peyton Reed,"Paul Rudd, Evangeline Lilly"
The Wrath of Becky,2023,English,"Action, Thriller",26-05-2023,83,"Post Film, BoulderLight Pictures","Suzanne Coote, Matt Angel","Lulu Wilson, Seann William Scott"
Gran Turismo,2023,English,"Adventure, Action",25-08-2023,135,"PlayStation Productions, 2.0 Entertainment",Neill Blomkamp,"Archie Madekwe, David Harbour"
Knights of the Zodiac,2023,English,"Fantasy, Action",27-04-2023,113,"Stage 6 Films, Toei Animation",Tomek Bagiński,"Mackenyu, Madison Iseman"
The Wonderful World of Mickey Mouse: Steamboat Silly,2023,English,Animation,28-07-2023,9,Disney Television Animation,Eddie Trigueros,"Chris Diamantopoulos, Tony Anselmo"
Shazam! Fury of the Gods,2023,English,"Action, Fantasy",15-03-2023,130,"New Line Cinema, The Safran Company",David F. Sandberg,"Zachary Levi, Asher Angel"
Freelance,2023,English,Action,05-10-2023,108,"Endurance Media, AGC Studios",Pierre Morel,"John Cena, Alison Brie"
To Catch a Killer,2023,English,Thriller,02-06-2023,119,"FilmNation Entertainment, RainMaker Films",Damián Szifron,"Shailene Woodley, Ben Mendelsohn"
Plane,2023,English,"Action, Adventure",13-01-2023,107,"MadRiver Pictures, di Bonaventura Pictures",Jean-François Richet,"Gerard Butler, Mike Colter"
The Hunger Games: The Ballad of Songbirds & Snakes,2023,English,"Sci-Fi, Adventure",17-11-2023,157,"Lionsgate, Color Force",Francis Lawrence,"Tom Blyth, Rachel Zegler"
The Loch Ness Horror,2023,English,Sci-Fi,07-11-2023,79,Dark Abyss Productions,Tyler-James,"Becca Hirani, Tara MacGowran"
The Last Kingdom: Seven Kings Must Die,2023,English,"Action, Adventure",14-04-2023,111,Carnival Films,Edward Bazalgette,"Alexander Dreymon, Harry Gilby"
Guy Ritchie's The Covenant,2023,English,"Action, Thriller",19-04-2023,123,"STXfilms, Toff Guy Films",Guy Ritchie,"Jake Gyllenhaal, Dar Salim"
Blue Beetle,2023,English,"Action, Sci-Fi",18-08-2023,128,"Warner Bros. Pictures, The Safran Company",Ángel Manuel Soto,"Xolo Mariduena, Bruna Marquezine"
Chicken Run: Dawn of the Nugget,2023,English,"Animation, Adventure",08-12-2023,101,Aardman,Sam Fell,"Thandiwe Newton, Zachary Levi"
The Killer,2023,English,Thriller,25-10-2023,118,Netflix,David Fincher,"Michael Fassbender, Tilda Swinton"
Sound of Freedom,2023,English,Action,03-07-2023,131,Santa Fe Films,Alejandro Monteverde,"Jim Caviezel, Mira Sorvino"
Influencer,2023,English,Thriller,18-05-2023,92,"Octane Entertainment, Superchill",Kurtis David Harder,"Cassandra Naud, Emily Tennant"
The Island,2023,English,"Action, Thriller",21-07-2023,93,MSR Media SKN,Shaun Paul Piccinino,"Michael Jai White, Jackson Rathbone"
Last Sentinel,2023,English,"Sci-Fi, Thriller",17-03-2023,112,"Allfilm, Sentinel Entertainment",Tanel Toom,"Kate Bosworth, Lucien Laviscount"
Little Bone Lodge,2023,English,Thriller,23-11-2023,93,"Particular Crowd, SC Films International",Matthias Hoene,"Joely Richardson, Sadie Soverall"
Righteous Thieves,2023,English,"Action, Thriller",10-03-2023,91,Broken English Productions,Anthony Nardolillo,"Lisa Vidal, Cam Gigandet"
The Last Voyage of the Demeter,2023,English,Fantasy,11-08-2023,119,"Phoenix Pictures, DreamWorks Pictures",André Øvredal,"Corey Hawkins, Aisling Franciosi"
"Ruby Gillman, Teenage Kraken",2023,English,"Animation, Fantasy",28-06-2023,91,DreamWorks Animation,Kirk DeMicco,"Lana Condor, Toni Collette"
Teen Wolf: The Movie,2023,English,"Action, Fantasy",18-01-2023,140,"MTV Entertainment Studios, MGM Television",Russell Mulcahy,"Tyler Posey, Crystal Reed"
Kandahar,2023,English,"Action, Thriller",25-05-2023,119,"Thunder Road, G-BASE",Ric Roman Waugh,"Gerard Butler, Navid Negahban"
The Devil Conspiracy,2023,English,"Fantasy, Sci-Fi",13-01-2023,111,"Czech Anglo Pictures, Third Day Production",Nathan Frankowski,"Alice Orr-Ewing, Joe Doyle"
Mob Land,2023,English,"Action, Thriller",04-08-2023,111,"308 Enterprises, TPC",Nicholas Maggio,"John Travolta, Shiloh Fernandez"
Tetris,2023,English,Thriller,15-03-2023,118,"Marv, AI Film",Jon S. Baird,"Taron Egerton, Nikita Efremov"
The Exorcist: Believer,2023,English,Thriller,06-10-2023,111,"Universal Pictures, Blumhouse Productions",David Gordon Green,"Leslie Odom Jr., Lidya Jewett"
Family Switch,2023,English,Fantasy,30-11-2023,106,"Linden Entertainment, Grey Matter Productions",McG,"Jennifer Garner, Ed Helms"
The Pope's Exorcist,2023,English,Thriller,07-04-2023,103,"Screen Gems, 2.0 Entertainment",Julius Avery,"Russell Crowe, Daniel Zovatto"
Hidden Strike,2023,English,"Action, Thriller",06-07-2023,103,"Talent International Media, XYZ Films",Scott Waugh,"Jackie Chan, John Cena"
Black Lotus,2023,English,"Action, Thriller",12-04-2023,93,"Capstone Pictures, Interstellar Pictures",Todor Chapkanov,"Rico Verhoeven, Frank Grillo"
Legion of Super-Heroes,2023,English,"Animation, Action",07-02-2023,84,"Warner Bros. Animation, DC Entertainment",Jeff Wamester,"Meg Donnelly, Harry Shum Jr."
Transmorphers: Mech Beasts,2023,English,"Action, Sci-Fi",09-06-2023,84,The Asylum,Michael Su,"Tom Arnold, Tania Fox"
War of the Worlds: The Attack,2023,English,"Sci-Fi, Thriller",21-04-2023,87,"Doorbell Productions, Lola's Productions",Junaid Syed,"Sam Gittins, Leo Staar"
Diary of a Wimpy Kid Christmas: Cabin Fever,2023,English,Animation,07-12-2023,64,"Walt Disney Pictures, Bardel Entertainment",Luke Cormican,"Wesley Kimmel, Erica Cerra"
Dark Harvest,2023,English,"Fantasy, Thriller",11-10-2023,96,"Matt Tolmach Productions, Metro-Goldwyn-Mayer",David Slade,"Casey Likes, Emyri Crutchfield"
Once Upon a Studio,2023,English,"Animation, Fantasy",24-09-2023,9,"Walt Disney Animation Studios, Walt Disney Pictures","Trent Correy, Dan Abraham","Chris Diamantopoulos, Kaitlyn Robrock"
Rebel Moon - Part One: A Child of Fire,2023,English,"Sci-Fi, Action",15-12-2023,134,"The Stone Quarry, Grand Electric",Zack Snyder,"Sofia Boutella, Michiel Huisman"
The Shepherd,2023,English,"Fantasy, Action",10-08-2023,39,"Argo Films, BKStudios",Iain Softley,"Ben Radcliffe, John Travolta"
The Siege,2023,English,"Action, Thriller",10-03-2023,97,MSR Media SKN,Brad Watson,"Daniel Stisen, Lauren Okadigbo"
No One Will Save You,2023,English,Sci-Fi,21-09-2023,93,"20th Century Studios, Star Thrower Entertainment",Brian Duffield,"Kaitlyn Dever, Elizabeth Kaluev"
Leave the World Behind,2023,English,Thriller,22-11-2023,142,"Esmail Corp, Red Om Films",Sam Esmail,"Julia Roberts, Ethan Hawke"
All of Us Strangers,2023,English,Fantasy,22-12-2023,105,"Film4 Productions, Blueprint Pictures",Andrew Haigh,"Andrew Scott, Paul Mescal"
Boston Strangler,2023,English,Thriller,16-03-2023,113,"20th Century Studios, LuckyChap Entertainment",Matt Ruskin,"Keira Knightley, Carrie Coon"
Craig Before the Creek,2023,English,"Animation, Adventure",11-12-2023,88,Cartoon Network Studios,"Matt Burnett, Ben Levin","Philip Solomon, Noël Wells"
Goldilocks and the Three Bears: Death & Porridge,2024,English,Thriller,05-06-2024,83,High Fliers Films,Craig Rees,"Olga Solo, Abigail Huxley"
Fight Another Day,2024,English,Action,09-10-2024,108,"High Star Entertainment, Kemodo Entertainment",James Mark,"Jim Belushi, Martin Kove"
The Substance,2024,English,Sci-Fi,07-09-2024,141,"Working Title Films, Blacksmith",Coralie Fargeat,"Demi Moore, Margaret Qualley"
Moana 2,2024,English,"Adventure, Animation",21-11-2024,100,"Walt Disney Animation Studios, Walt Disney Animation Studios","David G. Derrick Jr., Jason Hand","Auliʻi Cravalho, Dwayne Johnson"
Deadpool & Wolverine,2024,English,"Action, Sci-Fi",26-07-2024,128,"Marvel Studios, Maximum Effort",Shawn Levy,"Ryan Reynolds, Hugh Jackman"
Inside Out 2,2024,English,"Animation, Adventure",14-06-2024,97,Pixar,Kelsey Mann,"Amy Poehler, Maya Hawke"
Gypsy Moon,2024,English,"Fantasy, Thriller",14-02-2024,80,Rising Sun Media,Tony Gibson,"Tony Gibson, Lauren Lox"
Despicable Me 4,2024,English,"Animation, Sci-Fi",03-07-2024,94,"Universal Pictures, Illumination",Chris Renaud,"Steve Carell, Kristen Wiig"
The Day the Earth Blew Up: A Looney Tunes Movie,2024,English,"Adventure, Animation",14-03-2025,90,Warner Bros. Animation,Peter Browngardt,"Eric Bauza, Candi Milo"
Sonic the Hedgehog 3,2024,English,"Action, Sci-Fi",03-01-2025,110,"Paramount Pictures, Original Film",Jeff Fowler,"Jim Carrey, Ben Schwartz"
Venom: The Last Dance,2024,English,"Action, Sci-Fi",25-10-2024,109,"Columbia Pictures, Pascal Pictures",Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor"
The Wild Robot,2024,English,"Animation, Sci-Fi",12-09-2024,102,DreamWorks Animation,Chris Sanders,"Lupita Nyong'o, Pedro Pascal"
Kung Fu Panda 4,2024,English,"Animation, Action",02-03-2024,94,DreamWorks Animation,Mike Mitchell,"Jack Black, Awkwafina"
Road House,2024,English,"Action, Thriller",08-03-2024,121,"Silver Pictures, Amazon MGM Studios",Doug Liman,"Jake Gyllenhaal, Billy Magnussen"
Wicked,2024,English,Fantasy,22-11-2024,162,"Universal Pictures, Marc Platt Productions",Jon M. Chu,"Cynthia Erivo, Ariana Grande"
The Beekeeper,2024,English,"Action, Thriller",19-01-2024,106,"Miramax, Cedar Park Entertainment",David Ayer,"Jason Statham, Emmy Raver-Lampman"
Terrifier 3,2024,English,Thriller,09-10-2024,125,"Cineverse, Bloody Disgusting",Damien Leone,"Lauren LaVera, David Howard Thornton"
Kraven the Hunter,2024,English,"Action, Adventure",01-01-2025,127,"Columbia Pictures, Matt Tolmach Productions",J.C. Chandor,"Aaron Taylor-Johnson, Ariana DeBose"
Mufasa: The Lion King,2024,English,"Adventure, Animation",20-12-2024,118,Walt Disney Pictures,Barry Jenkins,"Aaron Pierre, Kelvin Harrison, Jr."
Red One,2024,English,"Action, Fantasy",15-11-2024,124,"Seven Bucks Productions, The Detective Agency",Jake Kasdan,"Dwayne Johnson, Chris Evans"
Alien: Romulus,2024,English,Sci-Fi,23-08-2024,119,"20th Century Studios, Scott Free Productions",Fede Álvarez,"Cailee Spaeny, David Jonsson"
Stockholm Bloodbath,2024,English,"Action, Adventure",19-01-2024,145,"Viaplay Studios, Nordisk Film Sweden",Mikael Håfström,"Sophie Cookson, Claes Bang"
Jurassic Triangle,2024,English,"Action, Sci-Fi",13-02-2024,84,Proportion Productions,Victor De Almeida,"Chrissie Wunna, Amelie Leroy"
Get Fast,2024,English,"Action, Thriller",12-12-2024,88,"Play by Play Entertainment, Greendale Productions",James Clayton,"James Clayton, Lou Diamond Phillips"
Furiosa: A Mad Max Saga,2024,English,"Action, Sci-Fi",22-05-2024,149,"Warner Bros. Pictures, Kennedy Miller Mitchell",George Miller,"Anya Taylor-Joy, Chris Hemsworth"
Godzilla x Kong: The New Empire,2024,English,"Action, Adventure",29-03-2024,115,Legendary Pictures,Adam Wingard,"Rebecca Hall, Brian Tyree Henry"
Dune: Part Two,2024,English,"Sci-Fi, Adventure",01-03-2024,167,Legendary Pictures,Denis Villeneuve,"Timothée Chalamet, Zendaya"
Humane,2024,English,"Sci-Fi, Thriller",26-04-2024,93,"Victory Man, Elevation Pictures",Caitlin Cronenberg,"Jay Baruchel, Emily Hampshire"
Bad Boys: Ride or Die,2024,English,"Action, Thriller",14-06-2024,115,"Westbrook, Columbia Pictures","Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence"
Nosferatu,2024,English,Fantasy,10-01-2025,133,"Focus Features, Studio 8",Robert Eggers,"Lily-Rose Depp, Nicholas Hoult"
The Garfield Movie,2024,English,"Adventure, Animation",30-04-2024,100,"Alcon Entertainment, DNEG",Mark Dindal,"Chris Pratt, Samuel L. Jackson"
Gladiator II,2024,English,"Action, Adventure",15-11-2024,148,"Paramount Pictures, Scott Free Productions",Ridley Scott,"Paul Mescal, Denzel Washington"
The Strangers: Chapter 1,2024,English,Thriller,15-05-2024,91,"Fifth Element Productions, Sherbone Media",Renny Harlin,"Madelaine Petsch, Froy Gutierrez"
My Freaky Family,2024,English,"Animation, Fantasy",25-04-2024,86,"Pop Family Entertainment, Telegael",Mark Gravas,"Evanna Lynch, Miranda Otto"
Compulsion,2024,English,Thriller,10-11-2024,101,"Cork Films, Do Productions",Neil Marshall,"Anna-Maria Sieklucka, Charlotte Kirk"
Angels Fallen: Warriors of Peace,2024,English,"Action, Fantasy",09-07-2024,103,"AZ Film Studios, Bossa Nova Productions",Ali Zamani,"Josh Burdett, Arifin Putra"
Long Distance,2024,English,"Sci-Fi, Action",12-07-2024,87,"DreamWorks Pictures, Reliance Entertainment","Josh Gordon, Will Speck","Anthony Ramos, Naomi Scott"
Kingdom of the Planet of the Apes,2024,English,"Sci-Fi, Adventure",08-05-2024,145,"20th Century Studios, Oddball Entertainment",Wes Ball,"Owen Teague, Freya Allan"
The Crow,2024,English,"Action, Fantasy",23-08-2024,111,"Davis Films, Pressman Film",Rupert Sanders,"Bill Skarsgård, FKA twigs"
Beetlejuice Beetlejuice,2024,English,Fantasy,04-09-2024,105,"Warner Bros. Pictures, Geffen Pictures",Tim Burton,"Michael Keaton, Winona Ryder"
The Ministry of Ungentlemanly Warfare,2024,English,Action,18-04-2024,120,"Jerry Bruckheimer Films, Black Bear Pictures",Guy Ritchie,"Henry Cavill, Eiza González"
Civil War,2024,English,Action,19-04-2024,109,"DNA Films, IPR.VC",Alex Garland,"Kirsten Dunst, Wagner Moura"
Elevation,2024,English,"Action, Sci-Fi",07-11-2024,91,"Lyrical Media, Grinder Monkey",George Nolfi,"Anthony Mackie, Morena Baccarin"
Heretic,2024,English,Thriller,13-12-2024,111,"A24, Beck/Woods","Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher"
Transformers One,2024,English,"Animation, Sci-Fi",11-09-2024,104,"Paramount Animation, di Bonaventura Pictures",Josh Cooley,"Chris Hemsworth, Brian Tyree Henry"
Longlegs,2024,English,Thriller,12-07-2024,101,"C2 Motion Picture Group, Saturn Films",Osgood Perkins,"Maika Monroe, Nicolas Cage"
Carry-On,2024,English,"Thriller, Action",05-12-2024,120,"Dylan Clark Productions, DreamWorks Pictures",Jaume Collet-Serra,"Taron Egerton, Jason Bateman"
Memoir of a Snail,2024,English,Animation,17-10-2024,94,"Arenamedia, MIFF Premiere Fund",Adam Elliot,"Sarah Snook, Kodi Smit-McPhee"
The Island of Lost Girls,2024,English,"Adventure, Thriller",19-12-2024,104,Treehouse Mafia Productions,"Ann-Marie Schmidt, Brian Schmidt","Avila Schmidt, Autumn Schmidt"
Murder Company,2024,English,Action,05-07-2024,86,"Complex Corp, Maverick Film",Shane Dax Taylor,"Kelsey Grammer, William Moseley"
Abigail,2024,English,Thriller,16-04-2024,109,"Project X Entertainment, Radio Silence","Matt Bettinelli-Olpin, Tyler Gillett","Melissa Barrera, Dan Stevens"
Subservience,2024,English,"Sci-Fi, Thriller",15-08-2024,105,"Millennium Media, Campbell Grobman Films",SK Dale,"Megan Fox, Michele Morrone"
Speak No Evil,2024,English,Thriller,11-09-2024,110,Blumhouse Productions,James Watkins,"James McAvoy, Mackenzie Davis"
The Twisters,2024,English,"Action, Adventure",28-06-2024,87,"Atomic Blonde Entertainment, The Global Asylum, LLC.",Michael Su,"Tiffany, Mark Justice"
Dirty Angels,2024,English,"Action, Thriller",11-12-2024,104,"Millennium Media, Nu Boyana Film Studios",Martin Campbell,"Eva Green, Maria Bakalova"
Blink Twice,2024,English,Thriller,21-08-2024,102,"Free Association, This Is Important",Zoë Kravitz,"Naomi Ackie, Channing Tatum"
Conclave,2024,English,Thriller,07-02-2025,120,"FilmNation Entertainment, Indian Paintbrush",Edward Berger,"Ralph Fiennes, Stanley Tucci"
IF,2024,English,Fantasy,08-05-2024,104,"Paramount Pictures, Sunday Night Productions",John Krasinski,"Cailey Fleming, Ryan Reynolds"
Twisters,2024,English,"Action, Thriller",18-07-2024,123,"Universal Pictures, Warner Bros. Pictures",Lee Isaac Chung,"Daisy Edgar-Jones, Glen Powell"
A Quiet Place: Day One,2024,English,"Sci-Fi, Thriller",26-06-2024,100,"Paramount Pictures, Platinum Dunes",Michael Sarnoski,"Lupita Nyong'o, Joseph Quinn"
Damsel,2024,English,"Fantasy, Action",07-03-2024,107,"PCMA Productions, Roth-Kirschenbaum Films",Juan Carlos Fresnadillo,"Millie Bobby Brown, Brooke Carter"
The Fall Guy,2024,English,Action,24-04-2024,127,"87North Productions, Entertainment 360",David Leitch,"Ryan Gosling, Emily Blunt"
Descendants: The Rise of Red,2024,English,"Fantasy, Adventure",11-07-2024,92,"Suzanne Todd Productions, Potato Monkey Productions",Jennifer Phang,"Kylie Cantrall, Malia Baker"
Strange Darling,2024,English,Thriller,14-08-2024,98,"Miramax, Spooky Pictures",JT Mollner,"Willa Fitzgerald, Kyle Gallner"
Arcadian,2024,English,"Action, Thriller",12-04-2024,92,"Highland Film Group, Redline Entertainment",Benjamin Brewer,"Nicolas Cage, Jaeden Martell"
The Green Dinosaur,2024,English,"Animation, Adventure",04-10-2024,94,"Human, Telewizja Polska",Wojtek Wawszczyk,"Mikołaj Wachowski, Borys Szyc"
Jackpot!,2024,English,Action,13-08-2024,107,"Roth-Kirschenbaum Films, Feigco Entertainment",Paul Feig,"Awkwafina, John Cena"
The Lord of the Rings: The War of the Rohirrim,2024,English,"Animation, Fantasy",13-12-2024,134,"New Line Cinema, Warner Bros. Animation",Kenji Kamiyama,"Brian Cox, Gaia Wise"
Land of Bad,2024,English,"Action, Thriller",16-02-2024,113,"Broken Open Pictures, Volition Media Partners",William Eubank,"Liam Hemsworth, Russell Crowe"
Atlas,2024,English,"Sci-Fi, Action",23-05-2024,120,"Safehouse Pictures, ASAP Entertainment",Brad Peyton,"Jennifer Lopez, Simu Liu"
Paddington in Peru,2024,English,Adventure,18-04-2025,106,"Kinoshita Group, Marmalade Pictures",Dougal Wilson,"Ben Whishaw, Hugh Bonneville"
Joker: Folie à Deux,2024,English,Thriller,02-10-2024,138,"Warner Bros. Pictures, Joint Effort",Todd Phillips,"Joaquin Phoenix, Lady Gaga"
MaXXXine,2024,English,Thriller,04-07-2024,103,"A24, Motel Mojave",Ti West,"Mia Goth, Elizabeth Debicki"
The Killer's Game,2024,English,"Action, Thriller",12-09-2024,104,"Dogbone Entertainment, Mad Chance",J.J. Perry,"Dave Bautista, Sofia Boutella"
Werewolves,2024,English,"Action, Thriller",04-12-2024,93,"The Solution, Monty the Dog Productions",Steven C. Miller,"Frank Grillo, Katrina Law"
Weekend in Taipei,2024,English,"Action, Adventure",19-09-2024,101,"EuropaCorp, Kinology",George Huang,"Luke Evans, Gwei Lun-Mei"
Electra,2024,English,Thriller,09-02-2024,85,"Ring Film, Yale Entertainment",Hala Matar,"Maria Bakalova, Jack Farthing"
Immaculate,2024,English,Thriller,20-03-2024,89,"Black Bear Pictures, Fifty-Fifty Films",Michael Mohan,"Sydney Sweeney, Álvaro Morte"
Juror #2,2024,English,Thriller,30-10-2024,114,"Warner Bros. Pictures, Malpaso Productions",Clint Eastwood,"Nicholas Hoult, Toni Collette"
Rebel Ridge,2024,English,"Action, Thriller",27-08-2024,132,"filmscience, Bonneville Pictures",Jeremy Saulnier,"Aaron Pierre, Don Johnson"
Madame Web,2024,English,"Action, Fantasy",16-02-2024,117,"Columbia Pictures, di Bonaventura Pictures",S.J. Clarkson,"Dakota Johnson, Sydney Sweeney"
Trap,2024,English,Thriller,31-07-2024,105,Blinding Edge Pictures,M. Night Shyamalan,"Josh Hartnett, Ariel Donoghue"
Beverly Hills Cop: Axel F,2024,English,Action,20-06-2024,118,"Don Simpson/Jerry Bruckheimer Films, Eddie Murphy Productions",Mark Molloy,"Eddie Murphy, Joseph Gordon-Levitt"
Utopia,2024,English,"Thriller, Action",09-12-2024,93,SP Media Group,James Bamford,"Moe Dunford, Charlotte Vega"
Borderlands,2024,English,"Action, Sci-Fi",07-08-2024,101,"Lionsgate, Arad Productions",Eli Roth,"Cate Blanchett, Kevin Hart"
Ghostbusters: Frozen Empire,2024,English,"Fantasy, Adventure",19-04-2024,115,"Ghost Corps, Columbia Pictures",Gil Kenan,"Mckenna Grace, Paul Rudd"
Captain Hook - The Cursed Tides,2025,English,"Adventure, Action",11-07-2025,90,Rêvasser Films,Lars Janssen,"Sean Cronin, Ewen Weatherburn"
War of the Worlds,2025,English,"Sci-Fi, Thriller",29-07-2025,91,"Universal Pictures, Bazelevs",Rich Lee,"Ice Cube, Eva Longoria"
Stolen Girl,2025,English,"Thriller, Action",04-09-2025,110,"Voltage Pictures, Vigorous Pictures",James Kent,"Kate Beckinsale, Scott Eastwood"
Hunting Grounds,2025,English,"Action, Thriller",16-05-2025,89,"Kemodo Entertainment, High Star Entertainment",Derek Barnes,"Emily Alatalo, Tim Rozon"
The Long Walk,2025,English,"Thriller, Sci-Fi",10-09-2025,109,"Lionsgate, about:blank",Francis Lawrence,"Cooper Hoffman, David Jonsson"
Black Phone 2,2025,English,Thriller,17-10-2025,114,"Blumhouse Productions, Universal Pictures",Scott Derrickson,"Ethan Hawke, Mason Thames"
The Strangers: Chapter 2,2025,English,Thriller,26-09-2025,98,"Lionsgate, Fifth Element Productions",Renny Harlin,"Madelaine Petsch, Froy Gutierrez"
The Twits,2025,English,"Animation, Fantasy",17-10-2025,99,"Jellyfish Pictures, The Roald Dahl Story Company",Phil Johnston,"Margo Martindale, Johnny Vegas"
The Toxic Avenger Unrated,2025,English,"Action, Sci-Fi",28-08-2025,102,"Legendary Pictures, Troma Entertainment",Macon Blair,"Peter Dinklage, Jacob Tremblay"
The Fantastic 4: First Steps,2025,English,"Sci-Fi, Adventure",25-07-2025,115,"Marvel Studios, Kevin Feige Productions",Matt Shakman,"Pedro Pascal, Vanessa Kirby"
The Astronaut,2025,English,"Sci-Fi, Thriller",26-09-2025,90,"Fuller Media, The Wonder Company",Jess Varley,"Kate Mara, Laurence Fishburne"
KPop Demon Hunters,2025,English,"Fantasy, Animation",20-06-2025,96,Sony Pictures Animation,"Chris Appelhans, Maggie Kang","Arden Cho, May Hong"
The Lost Princess,2025,English,"Action, Adventure",16-10-2025,105,"H Films, LineDrive Studio",Hicham Hajji,"Cillian O'Sullivan, Gary Dourdan"
Mission: Impossible - The Final Reckoning,2025,English,"Action, Adventure",17-05-2025,170,"Paramount Pictures, Skydance Media",Christopher McQuarrie,"Tom Cruise, Hayley Atwell"
Primitive War,2025,English,Action,01-09-2025,133,Sparke Films,Luke Sparke,"Jeremy Piven, Tricia Helfer"
Superman,2025,English,"Sci-Fi, Adventure",11-07-2025,130,"DC Studios, Troll Court Entertainment",James Gunn,"David Corenswet, Rachel Brosnahan"
The Woman in Cabin 10,2025,English,Thriller,09-10-2025,95,"SISTER, CBS Films",Simon Stone,"Keira Knightley, Guy Pearce"
V/H/S/HALLOWEEN,2025,English,Thriller,19-09-2025,115,"Shudder, Cinepocalypse","Bryan M. Ferguson, Casper Kelly","Lawson Greyson, Sarah Nicklin"
Prisoner of War,2025,English,"Action, Thriller",19-09-2025,113,"Well Go USA Entertainment, Brand in Motion",Louis Mandylor,"Scott Adkins, Peter Shinkoda"
